,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd
229,CA02,0140104423,METRO  llc,,2020.0,2960617050.0,2020-02-27,2020-03-11,2020-03-01,CA10,93179.35199999998
237,U001,0200726979,BJ'S  systems,,2020.0,1930801417.0,2020-04-19,2020-05-04,2020-04-19,NAA8,360.33
242,U001,0200743996,STATER  llc,,2020.0,1930660304.0,2020-03-16,2020-05-20,2020-03-16,NAGD,3826.03
254,U001,0200752302,KROGER trust,,2020.0,1930733767.0,2020-04-02,2020-04-17,2020-04-02,NAA8,96674.05
258,CA02,140105686,SYSC llc,,2020.0,2960633120.0,2020-05-06,2020-05-18,2020-05-08,CA10,43230.299
260,U001,0200711029,WEGMAN corp,,2020.0,1930742932.0,2020-04-03,2020-04-18,2020-04-03,NAA8,14382.22
264,CA02,CCU001,KRAFT  corporation,,2020.0,2960622220.0,2020-03-20,2020-04-27,2020-03-23,NAG2,17828.068999999996
265,U001,0200769623,WAL-MAR llc,,2020.0,1930804924.0,2020-04-21,2020-05-06,2020-04-21,NAH4,35509.95
268,U001,0200769623,WAL-MAR associates,,2020.0,1930746955.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13512.61
272,U001,0200772670,ASSOCIAT corp,,2020.0,1930698156.0,2020-03-24,2020-04-08,2020-03-24,NAU5,24421.33
275,U001,0200769623,WAL-MAR co,,2020.0,1930801200.0,2020-04-19,2020-05-04,2020-04-19,NAH4,11217.33
277,U001,0200769623,WAL-MAR systems,,2020.0,1930776682.0,2020-04-13,2020-04-28,2020-04-13,NAH4,12554.13
288,U001,0200720238,WOODM co,,2020.0,1930858727.0,2020-05-06,2020-05-21,2020-05-06,NAA8,126919.03
295,CA02,140106408,WAL-M in,,2020.0,2960631200.0,2020-04-25,2020-05-05,2020-04-25,CA10,28537.684
301,U001,0200769623,WAL-MAR co,,2020.0,1930729999.0,2020-04-01,2020-04-16,2020-04-01,NAH4,24834.9
311,U001,0200769623,WAL-MAR us,,2020.0,1930653060.0,2020-03-15,2020-03-30,2020-03-15,NAH4,50202.83
312,U001,0200769623,WAL-MAR us,,2020.0,1930715979.0,2020-04-01,2020-04-16,2020-04-01,NAH4,8299.7
314,U001,0200799367,MCL corporation,,2020.0,1930673430.0,2020-03-24,2020-04-08,2020-03-24,NAA8,51602.13
319,U001,0200759878,SA co,,2020.0,1930783249.0,2020-04-14,2020-04-29,2020-04-14,NAH4,18900.99
323,U001,0200794332,COST corp,,2020.0,1930638145.0,2020-03-14,2020-03-29,2020-03-14,NAAX,49467.7
324,U001,0200515231,US  us,,2020.0,1930768145.0,2020-04-09,2020-04-24,2020-04-09,NAA8,10187.66
330,U001,0200782669,SYGMA corp,,2020.0,1930636977.0,2020-03-13,2020-03-28,2020-03-13,NAA8,237.4
333,U001,200769623,WAL-MAR foundation,,2020.0,1930882979.0,2020-05-12,2020-05-27,2020-05-12,NAH4,11532.84
340,U001,0200769623,WAL-MAR ,,2020.0,1930692833.0,2020-03-24,2020-04-08,2020-03-24,NAH4,20017.92
362,U001,0200331749,SYSC foundation,,2020.0,1930579080.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5320.85
363,U001,0200772670,ASSOCIAT associates,,2020.0,1930819529.0,2020-04-23,2020-05-08,2020-04-23,NAU5,30900.83
383,U001,0200772670,ASSOCIAT us,,2020.0,1930736164.0,2020-04-02,2020-04-17,2020-04-02,NAU5,65843.26
396,U001,0200706844,WINC foundation,,2020.0,1930599854.0,2020-03-04,2020-03-19,2020-03-04,NAA8,359.44
399,U001,0100043975,JAVA ,,2020.0,1930740345.0,2020-04-03,2020-04-18,2020-04-03,NAA8,1427.36
402,U001,0200762301,C&S WH in,,2020.0,1930592552.0,2020-03-04,2020-03-19,2020-03-04,NAC6,99091.71
403,U001,0200148860,DOLLA associates,,2020.0,1930732920.0,2020-04-03,2020-06-07,2020-04-03,NAGD,6543.44
411,CA02,0100027744,OMEGA AD in,,2020.0,2960635652.0,2020-05-19,2020-05-19,2020-05-19,CAB1,4924.5
419,U001,0100031704,DELHAIZE co,,2020.0,1930585468.0,2020-03-01,2020-03-16,2020-03-01,NAA8,106394.18
423,U001,0200799420,HT HA foundation,,2020.0,1930703225.0,2020-03-25,2020-04-09,2020-03-25,NAA8,801.1
428,U001,0200974851,RESTA systems,,2020.0,1930706997.0,2020-03-26,2020-04-10,2020-03-26,NAA8,3566.69
433,U001,0200769623,WAL-MAR in,,2020.0,1930830709.0,2020-04-28,2020-05-13,2020-04-28,NAH4,8885.57
440,U001,0200793568,SUPE llc,,2020.0,1930630388.0,2020-03-10,2020-03-25,2020-03-10,NAA8,15893.27
442,U001,0200759878,SA foundation,,2020.0,1930609945.0,2020-03-06,2020-03-21,2020-03-06,NAH4,70180.8
445,U001,0200712187,SPAR in,,2020.0,1930806222.0,2020-04-20,2020-05-05,2020-04-20,NAA8,119384.36
446,U001,0100047532,KEYSTON associates,,2020.0,1930592834.0,2020-03-04,2020-03-19,2020-03-04,NAA8,11852.54
447,U001,0200794332,COST co,,2020.0,1930562584.0,2020-02-28,2020-03-19,2020-02-28,NA84,11225.42
454,U001,0200148860,DOLLA associates,,2020.0,1930699340.0,2020-03-25,2020-05-29,2020-03-25,NAGD,5456.75
458,U001,200794332,COST llc,,2020.0,1930862420.0,2020-05-08,2020-05-23,2020-05-08,NAAX,81500.86
468,U001,0200555117,BURR trust,,2020.0,1930709963.0,2020-03-27,2020-04-11,2020-03-27,NAA8,749.14
470,U001,200769623,WAL-MAR in,,2020.0,1930878284.0,2020-05-09,2020-05-24,2020-05-09,NAH4,2219.89
471,U001,0200772670,ASSOCIAT corp,,2020.0,1930683241.0,2020-03-21,2020-04-05,2020-03-21,NAU5,15489.78
473,U001,200707822,PUBLI corporation,,2020.0,1930857983.0,2020-05-04,2020-05-19,2020-05-04,NAA8,126107.91
482,CA02,0140104392,FLANAG us,,2020.0,2960619205.0,2020-03-06,2020-03-20,2020-03-10,CA10,2528.673
486,U001,0200769623,WAL-MAR corp,,2020.0,1930831780.0,2020-04-28,2020-05-13,2020-04-28,NAH4,11545.38
493,U001,0200759878,SA systems,,2020.0,1930717567.0,2020-03-31,2020-04-15,2020-03-31,NAH4,47646.57
498,U001,0200705742,DOT foundation,,2020.0,1930581678.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5932.51
502,U001,200793568,SUPE trust,,2020.0,1930690537.0,2020-03-23,2020-04-07,2020-03-23,NAA8,1635.76
511,U001,0200726979,BJ'S  ,,2020.0,1930646128.0,2020-03-12,2020-03-27,2020-03-12,NAA8,1286.3
516,U001,0200704858,WAKE corp,,2020.0,1930762384.0,2020-04-09,2020-04-24,2020-04-09,NAA8,99568.42
519,U001,0200780383,MEIJ in,,2020.0,1930665025.0,2020-03-18,2020-04-02,2020-03-18,NAA8,3612.63
520,U001,0200762301,C&S WH associates,,2020.0,1930778021.0,2020-04-12,2020-04-27,2020-04-12,NAC6,102276.04
522,CA02,0140106271,LONGO  in,,2020.0,2960626604.0,2020-04-03,2020-04-17,2020-04-07,CA10,8615.453
529,CA02,0140104423,METRO  us,,2020.0,2960628851.0,2020-04-17,2020-05-01,2020-04-21,CA10,45059.545999999995
531,U001,0200741174,M B  co,,2020.0,1930657267.0,2020-03-16,2020-03-31,2020-03-16,NAA8,5767.83
535,CA02,0100030194,AMAZO llc,,2020.0,2960622411.0,2020-03-18,2020-03-30,2020-03-20,CA10,9851.667
545,U001,0200769623,WAL-MAR trust,,2020.0,1930720012.0,2020-03-30,2020-04-14,2020-03-30,NAH4,42379.83
559,U001,0200592182,DECA in,,2020.0,1930822583.0,2020-04-24,2020-05-09,2020-04-16,NAM4,1761.84
571,U001,0200743996,STATER  co,,2020.0,1930686889.0,2020-03-22,2020-04-06,2020-03-22,NAA8,94612.03
583,U001,0200769623,WAL-MAR in,,2020.0,1930787980.0,2020-04-15,2020-04-30,2020-04-15,NAH4,22226.35
587,U001,0200749782,KROG associates,,2020.0,1930822131.0,2020-04-25,2020-05-10,2020-04-25,NAA8,88502.01
596,U001,0200744019,TARG corp,,2020.0,1930641073.0,2020-03-13,2020-05-17,2020-03-13,NAGD,1982.06
600,U001,0200769623,WAL-MAR foundation,,2020.0,1930804577.0,2020-04-21,2020-05-06,2020-04-21,NAH4,2326.08
601,U001,0200705742,DOT us,,2020.0,1930592413.0,2020-03-02,2020-03-17,2020-03-02,NAA8,9822.38
617,U001,0200744019,TARG trust,,2020.0,1930857489.0,2020-05-05,2020-05-20,2020-05-05,NAA8,29592.42
619,U001,0200772670,ASSOCIAT associates,,2020.0,1930739252.0,2020-04-03,2020-04-18,2020-04-03,NAU5,47903.76
620,U001,0200769623,WAL-MAR corporation,,2020.0,1930692953.0,2020-03-24,2020-04-08,2020-03-24,NAH4,1898.9
625,U001,0200900909,SYSCO in,,2020.0,1930741081.0,2020-04-03,2020-04-18,2020-04-03,NAA8,7524.17
627,U001,0200424504,M  in,,2020.0,1930830032.0,2020-04-28,2020-04-15,2020-04-15,NACG,2428.04
629,U001,0100031704,DELHAIZE trust,,2020.0,1930794735.0,2020-04-16,2020-06-20,2020-04-16,NAGD,1176.59
633,U001,0200764795,SYSCO  us,,2020.0,1930637455.0,2020-03-18,2020-04-19,2020-03-18,NA32,10978.51
644,U001,0200337148,COAS systems,,2020.0,1930587342.0,2020-03-02,2020-03-17,2020-03-02,NAA8,45127.79
645,U001,0200416837,DEC llc,,2020.0,1930599382.0,2020-03-04,2020-03-24,2020-03-01,NAM4,398.16
649,U001,0200769623,WAL-MAR llc,,2020.0,1930623646.0,2020-03-09,2020-03-24,2020-03-09,NAH4,58726.21
650,U001,0200726979,BJ'S  associates,,2020.0,1930645815.0,2020-03-12,2020-03-27,2020-03-12,NAA8,588.49
658,U001,0200721222,GO us,,2020.0,1930800642.0,2020-04-20,2020-05-05,2020-04-20,NAA8,25685.07
662,U001,0200772595,SAFEW corporation,,2020.0,1930729101.0,2020-04-02,2020-04-17,2020-04-02,NAA8,10020.14
665,U001,0200820380,SMITH'S trust,,2020.0,1930716191.0,2020-03-30,2020-04-14,2020-03-30,NAA8,48022.97
668,U001,0200793568,SUPE corporation,,2020.0,1930779652.0,2020-04-14,2020-04-29,2020-04-14,NAA8,36623.03
669,U001,0200706844,WINC corp,,2020.0,1930732708.0,2020-04-01,2020-04-16,2020-04-01,NAA8,22644.53
672,U001,0100043975,JAVA co,,2020.0,1930586661.0,2020-03-02,2020-03-17,2020-03-02,NAA8,7212.0
673,U001,0200769623,WAL-MAR llc,,2020.0,1930692548.0,2020-03-25,2020-04-09,2020-03-25,NAH4,15797.23
675,U001,0200762301,C&S WH in,,2020.0,1930630515.0,2020-03-11,2020-03-26,2020-03-11,NAC6,2018.45
681,U001,0200769623,WAL-MAR foundation,,2020.0,1930593446.0,2020-03-04,2020-03-19,2020-03-04,NAH4,14706.98
682,U001,0200729290,KROGER ,,2020.0,1930599215.0,2020-03-04,2020-03-19,2020-03-04,NAA8,115494.14
685,U001,0200769623,WAL-MAR us,,2020.0,1930827122.0,2020-04-27,2020-05-12,2020-04-27,NAH4,1898.9
687,U001,0200769623,WAL-MAR us,,2020.0,1930750644.0,2020-04-06,2020-04-21,2020-04-06,NAH4,37684.36
688,U001,0200705372,FR corporation,,2020.0,1930637990.0,2020-03-13,2020-03-28,2020-03-13,NAA8,19961.05
698,U001,0200769623,WAL-MAR llc,,2020.0,1930675431.0,2020-03-22,2020-04-06,2020-03-22,NAH4,11826.09
701,U001,0200742791,QUI in,,2020.0,1930603823.0,2020-03-10,2020-03-25,2020-03-10,NAA8,24843.48
703,U001,0200743996,STATER  corporation,,2020.0,1930718352.0,2020-03-30,2020-04-14,2020-03-30,NAA8,32224.05
704,U001,0200769623,WAL-MAR us,,2020.0,1930752522.0,2020-04-06,2020-04-21,2020-04-06,NAH4,9937.06
714,U001,0200759878,SA corporation,,2020.0,1930752430.0,2020-04-08,2020-04-23,2020-04-08,NAH4,12417.47
722,U001,0200762301,C&S WH us,,2020.0,1930584581.0,2020-03-02,2020-03-17,2020-03-02,NAC6,4301.57
723,U001,200769623,WAL-MAR ,,2020.0,1930885637.0,2020-05-12,2020-05-27,2020-05-12,NAH4,22549.83
728,U001,0100043936,PAPA JO foundation,,2020.0,1930627707.0,2020-03-10,2020-03-20,2020-03-10,NA10,18145.19
731,U001,0200744019,TARG co,,2020.0,1930748869.0,2020-04-05,2020-04-20,2020-04-05,NAA8,97776.0
739,U001,0200794332,COST ,,2020.0,1930720706.0,2020-04-02,2020-04-17,2020-04-02,NAAX,31599.18
745,U001,0200740393,LABAT ,,2020.0,1930585380.0,2020-03-03,2020-03-18,2020-03-03,NAA8,52645.42
747,U001,0200769623,WAL-MAR systems,,2020.0,1930671465.0,2020-03-20,2020-04-04,2020-03-20,NAH4,21113.92
753,U001,0200762301,C&S WH co,,2020.0,1930577119.0,2020-02-27,2020-03-13,2020-02-27,NAC6,137768.6
758,U001,0200759878,SA in,,2020.0,1930748365.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13548.66
759,U001,0200759878,SA corporation,,2020.0,1930825574.0,2020-04-27,2020-05-12,2020-04-27,NAH4,35898.48
762,U001,0200704858,WAKE llc,,2020.0,1930655118.0,2020-03-16,2020-03-31,2020-03-16,NAA8,109248.63
777,U001,0200762301,C&S WH foundation,,2020.0,1930654407.0,2020-03-16,2020-03-31,2020-03-16,NAC6,7465.1
806,U001,0200803720,DEC corporation,,2020.0,1930872721.0,2020-05-07,2020-05-11,2020-05-01,NAM2,4729.18
807,U001,0200078795,H T H llc,,2020.0,1930861108.0,2020-05-05,2020-05-20,2020-05-05,NAA8,1412.26
812,U001,0200519201,KROGE llc,,2020.0,1930709582.0,2020-03-28,2020-04-12,2020-03-28,NAA8,15477.22
821,U001,0200744019,TARG corp,,2020.0,1930753198.0,2020-04-07,2020-04-22,2020-04-07,NAA8,19195.56
829,U001,0200786288,FAMILY in,,2020.0,1930759958.0,2020-04-08,2020-04-23,2020-04-08,NAC6,66230.48
830,U001,0200418007,AM systems,,2020.0,1930732102.0,2020-04-02,2020-04-17,2020-04-02,NAA8,47393.05
832,U001,0200466603,SMITH'S systems,,2020.0,1930664246.0,2020-03-18,2020-04-02,2020-03-18,NAA8,142732.08
841,CA02,0140106408,WAL-M associates,,2020.0,2960622798.0,2020-03-23,2020-04-02,2020-03-23,CA10,5791.484999999999
842,U001,0200762301,C&S WH in,,2020.0,1930721389.0,2020-04-01,2020-06-05,2020-04-01,NAGD,7943.13
845,U001,0200761734,H E BUT associates,,2020.0,1930632938.0,2020-03-10,2020-03-25,2020-03-10,NAA8,91756.55
851,U001,0200769623,WAL-MAR foundation,,2020.0,1930611981.0,2020-03-08,2020-03-23,2020-03-08,NAH4,24282.42
854,U001,0200769623,WAL-MAR llc,,2020.0,1930793187.0,2020-04-18,2020-05-03,2020-04-18,NAH4,10903.6
866,U001,200769623,WAL-MAR us,,2020.0,1930692727.0,2020-03-24,2020-04-08,2020-03-24,NAH4,51516.27
867,U001,0200744019,TARG us,,2020.0,1930813045.0,2020-04-21,2020-05-06,2020-04-21,NAA8,5887.21
869,U001,0200726979,BJ'S  systems,,2020.0,1930643416.0,2020-03-12,2020-03-27,2020-03-12,NAA8,14149.02
872,U001,0200706844,WINC co,,2020.0,1930760026.0,2020-03-31,2020-04-15,2020-03-31,NAA8,38905.5
889,U001,0200418007,AM us,,2020.0,1930650673.0,2020-03-14,2020-05-18,2020-03-14,NAGD,1011.24
894,U001,0200799367,MCL in,,2020.0,1930720975.0,2020-03-31,2020-04-15,2020-03-31,NAA8,124605.44
898,U001,0200772595,SAFEW corporation,,2020.0,1930705040.0,2020-03-25,2020-04-09,2020-03-25,NAA8,32039.34
899,U001,0200759878,SA llc,,2020.0,1930700242.0,2020-03-27,2020-04-11,2020-03-27,NAH4,50054.82
900,U001,CCU013,KRAFT F in,,2020.0,1930570370.0,2020-02-28,2020-02-28,2020-02-28,NAX2,37209.64
904,U001,0200726979,BJ'S  in,,2020.0,1930629390.0,2020-03-09,2020-03-24,2020-03-09,NAA8,467.72
905,U001,0200526831,PERISH associates,,2020.0,1930666168.0,2020-03-19,2020-04-03,2020-03-19,NAA8,134095.09
911,U001,0200769623,WAL-MAR llc,,2020.0,1930845835.0,2020-05-02,2020-05-17,2020-05-02,NAH4,292.94
916,U001,0100031704,DELHAIZE corp,,2020.0,1930844129.0,2020-04-30,2020-05-15,2020-04-30,NAA8,92271.69
918,U001,0200769623,WAL-MAR in,,2020.0,1930662779.0,2020-03-18,2020-04-02,2020-03-18,NAH4,35023.47
924,U001,0200020431,DEC systems,,2020.0,1930599834.0,2020-03-04,2020-03-24,2020-03-01,NAM4,4551.58
933,U001,0200726979,BJ'S  ,,2020.0,1930730591.0,2020-04-01,2020-04-16,2020-04-01,NAA8,261.84
944,U001,0200769623,WAL-MAR foundation,,2020.0,1930652678.0,2020-03-15,2020-03-30,2020-03-15,NAH4,33837.66
952,U001,0200729942,SA ,,2020.0,1930798198.0,2020-04-17,2020-05-02,2020-04-17,NAA8,11696.53
956,U001,0200705742,DOT systems,,2020.0,1930810367.0,2020-04-23,2020-05-08,2020-04-23,NAA8,8115.04
957,U001,0200777735,NASH  co,,2020.0,1930670844.0,2020-03-18,2020-04-02,2020-03-18,NAA8,152067.79
973,U001,0200020431,DEC us,,2020.0,1930617742.0,2020-03-07,2020-03-24,2020-03-01,NAM4,3117.84
980,U001,0200769623,WAL-MAR corp,,2020.0,1930748572.0,2020-04-06,2020-04-21,2020-04-06,NAH4,1898.2
985,U001,0200759878,SA systems,,2020.0,1930655535.0,2020-03-16,2020-03-31,2020-03-16,NAH4,17060.17
990,U001,0100004536,BAS ,,2020.0,1930765834.0,2020-04-14,2020-04-29,2020-04-14,NAA8,3745.49
991,U001,0200769623,WAL-MAR corporation,,2020.0,1930882579.0,2020-05-11,2020-05-26,2020-05-11,NAH4,9163.34
996,CA02,0140104409,LOB in,,2020.0,2960624271.0,2020-03-26,2020-04-07,2020-03-28,CA10,166894.25199999998
999,U001,0200744019,TARG co,,2020.0,1930652649.0,2020-03-16,2020-03-31,2020-03-16,NAA8,1183.45
1011,U001,0200769623,WAL-MAR systems,,2020.0,1930803693.0,2020-04-23,2020-05-08,2020-04-23,NAH4,53859.97
1034,CA02,0140104423,METRO  corp,,2020.0,2960624752.0,2020-04-01,2020-04-11,2020-04-01,CA10,32025.363999999994
1039,U001,0200707822,PUBLI foundation,,2020.0,1930801025.0,2020-04-18,2020-05-03,2020-04-18,NAA8,61394.52
1046,U001,0200782669,SYGMA systems,,2020.0,1930617473.0,2020-03-09,2020-03-24,2020-03-09,NAA8,23298.58
1056,U001,0200705742,DOT corporation,,2020.0,1930660872.0,2020-03-17,2020-04-20,2020-03-17,NAAW,4041.99
1058,U001,0200769623,WAL-MAR corp,,2020.0,1930676006.0,2020-03-21,2020-04-05,2020-03-21,NAH4,14666.28
1062,U001,0200780383,MEIJ foundation,,2020.0,1930860645.0,2020-05-06,2020-05-21,2020-05-06,NAA8,108570.13
1063,U001,0100031704,DELHAIZE trust,,2020.0,1930796146.0,2020-04-17,2020-06-21,2020-04-17,NAGD,16196.66
1064,U001,0200561861,CO llc,,2020.0,1930774237.0,2020-04-10,2020-04-25,2020-04-10,NAA8,23448.25
1071,U001,0200761734,H E BUT systems,,2020.0,1930701257.0,2020-03-26,2020-04-10,2020-03-26,NAA8,83095.78
1073,U001,0200769623,WAL-MAR co,,2020.0,1930724889.0,2020-04-01,2020-04-16,2020-04-01,NAH4,5801.67
1074,U001,0200769623,WAL-MAR us,,2020.0,1930677295.0,2020-03-22,2020-04-06,2020-03-22,NAH4,11515.66
1080,U001,0200900909,SYSCO in,,2020.0,1930623159.0,2020-03-09,2020-03-24,2020-03-09,NAA8,42647.01
1081,U001,200726979,BJ'S  corporation,,2020.0,1930665005.0,2020-03-18,2020-04-02,2020-03-18,NAA8,810.96
1090,U001,0200769623,WAL-MAR systems,,2020.0,1930719358.0,2020-03-30,2020-04-14,2020-03-30,NAH4,24504.26
1092,U001,0200353024,DECA corporation,,2020.0,1930875691.0,2020-05-08,2020-05-24,2020-05-01,NAM4,889.08
1102,U001,0200762950,HAR trust,,2020.0,1930671888.0,2020-03-21,2020-04-05,2020-03-21,NAA8,173239.52
1112,U001,0200561861,CO us,,2020.0,1930764482.0,2020-04-15,2020-04-30,2020-04-15,NAA8,30316.62
1113,U001,0200744019,TARG in,,2020.0,1930647824.0,2020-03-13,2020-03-28,2020-03-13,NAA8,17408.37
1119,U001,0200418007,AM foundation,,2020.0,1930630519.0,2020-03-13,2020-03-28,2020-03-13,NAA8,840.67
1120,U001,0200762301,C&S WH trust,,2020.0,1930805217.0,2020-04-22,2020-05-07,2020-04-22,NAC6,56261.98
1122,U001,0200772670,ASSOCIAT in,,2020.0,1930723923.0,2020-03-31,2020-04-15,2020-03-31,NAU5,1655.46
1124,U001,0200769623,WAL-MAR trust,,2020.0,1930683228.0,2020-03-21,2020-04-05,2020-03-21,NAH4,41629.12
1127,U001,0200744019,TARG corporation,,2020.0,1930730322.0,2020-04-01,2020-04-16,2020-04-01,NAA8,54651.53
1141,U001,0100047382,PETER  corporation,,2020.0,1930637647.0,2020-03-13,2020-03-28,2020-03-13,NAA8,17733.56
1150,U001,CCU002,KRFT FDS associates,,2020.0,1930637979.0,2020-03-13,2020-04-17,2020-03-13,NAG2,10648.32
1152,U001,200706844,WINC llc,,2020.0,1930842076.0,2020-04-30,2020-05-15,2020-04-30,NAA8,38169.79
1153,U001,0200762301,C&S WH ,,2020.0,1930747271.0,2020-04-04,2020-04-19,2020-04-04,NAC6,3939.0
1156,U001,CCCA02,KRAFT  associates,,2020.0,1930662684.0,2020-03-18,2020-04-22,2020-03-18,NAG2,29972.7
1170,U001,0200769623,WAL-MAR in,,2020.0,1930751769.0,2020-04-06,2020-04-21,2020-04-06,NAH4,56076.31
1172,U001,200980828,BEN E associates,,2020.0,1930838209.0,2020-04-29,2020-05-19,2020-04-29,NAD1,17770.01
1173,U001,0200744019,TARG ,,2020.0,1930751781.0,2020-04-06,2020-04-21,2020-04-06,NAA8,58607.34
1177,U001,0200769623,WAL-MAR corp,,2020.0,1930688185.0,2020-03-24,2020-04-08,2020-03-24,NAH4,16674.74
1182,U001,0200769623,WAL-MAR co,,2020.0,1930843169.0,2020-05-01,2020-05-16,2020-05-01,NAH4,32553.0
1192,CA02,0140106408,WAL-M us,,2020.0,2960624581.0,2020-04-07,2020-04-18,2020-04-08,CA10,58841.804
